epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,185.689,0.94091,0.56283,0.88358,0.96783,0.94444,0.94795,0.67828,0.85527,0.51768,0.91778,0.0011882,0.0011882,0.0011882
43,190.034,0.88463,0.56075,0.8786,0.94427,0.94141,0.92727,0.69434,0.74439,0.51936,0.90312,0.0011684,0.0011684,0.0011684
44,194.317,0.79506,0.50755,0.83661,0.93808,0.91667,0.91744,0.69192,0.70757,0.50181,0.90555,0.0011486,0.0011486,0.0011486
45,198.55,0.83443,0.56722,0.88833,0.93932,0.91667,0.91685,0.67531,0.76592,0.50146,0.90654,0.0011288,0.0011288,0.0011288
46,202.907,0.81901,0.50663,0.85766,0.93944,0.94444,0.94846,0.76239,0.7066,0.48947,0.89849,0.001109,0.001109,0.001109
47,207.101,0.91165,0.58497,0.90152,0.96822,0.94444,0.95437,0.72693,0.74037,0.52888,0.8993,0.0010892,0.0010892,0.0010892
48,211.476,0.89633,0.55365,0.88444,0.94356,0.94444,0.92746,0.64065,0.87639,0.54861,0.90983,0.0010694,0.0010694,0.0010694
49,215.733,0.88206,0.55419,0.89977,0.97132,0.94095,0.96557,0.71804,0.74788,0.47831,0.89889,0.0010496,0.0010496,0.0010496
50,220.087,0.8224,0.50897,0.85673,0.94433,0.94246,0.96596,0.7214,0.77045,0.46813,0.90049,0.0010298,0.0010298,0.0010298
51,224.417,0.82674,0.51312,0.86663,0.96832,0.94444,0.96475,0.71757,0.72205,0.50397,0.89667,0.00101,0.00101,0.00101
52,228.535,0.81664,0.49815,0.86207,0.96459,0.94444,0.96149,0.70627,0.78809,0.47407,0.90811,0.0009902,0.0009902,0.0009902
53,232.721,0.7315,0.48877,0.85899,0.96612,0.94444,0.95295,0.72774,0.72941,0.48244,0.89807,0.0009704,0.0009704,0.0009704
54,236.971,0.80138,0.49236,0.84459,0.94226,0.94444,0.94183,0.72108,0.74413,0.46661,0.89515,0.0009506,0.0009506,0.0009506
55,241.321,0.79829,0.4943,0.86818,0.94185,0.94444,0.94579,0.71631,0.7695,0.45545,0.89859,0.0009308,0.0009308,0.0009308
56,245.609,0.78859,0.50421,0.87691,0.93728,0.94444,0.95605,0.73361,0.74008,0.45511,0.89788,0.000911,0.000911,0.000911
57,249.733,0.71501,0.45794,0.8606,0.92822,0.94444,0.96593,0.72519,0.73916,0.49002,0.89913,0.0008912,0.0008912,0.0008912
58,253.87,0.71196,0.46892,0.83715,0.94046,0.94444,0.96705,0.7126,0.77147,0.45575,0.90274,0.0008714,0.0008714,0.0008714
59,258.49,0.7601,0.49588,0.85764,0.97008,0.94444,0.97013,0.74572,0.69593,0.45951,0.89297,0.0008516,0.0008516,0.0008516
60,262.86,0.8139,0.52359,0.84943,0.96646,0.94444,0.97163,0.71796,0.80906,0.44284,0.90395,0.0008318,0.0008318,0.0008318
61,267.03,0.76173,0.47392,0.86531,0.96861,0.94444,0.96782,0.72201,0.71222,0.40382,0.90114,0.000812,0.000812,0.000812
62,271.292,0.72976,0.46583,0.86544,0.96988,0.94444,0.96361,0.74113,0.70052,0.41352,0.90047,0.0007922,0.0007922,0.0007922
63,275.323,0.78205,0.44864,0.8536,0.96934,0.94444,0.9586,0.7292,0.81282,0.47067,0.90269,0.0007724,0.0007724,0.0007724
64,279.647,0.82276,0.4596,0.84754,0.96876,0.94444,0.95746,0.72082,0.76469,0.43053,0.90518,0.0007526,0.0007526,0.0007526
65,283.89,0.75731,0.46585,0.85695,0.94235,0.94444,0.96197,0.72298,0.7208,0.42544,0.90223,0.0007328,0.0007328,0.0007328
66,287.945,0.80922,0.46564,0.82617,0.94258,0.94444,0.95777,0.71776,0.78299,0.44735,0.89602,0.000713,0.000713,0.000713
67,292.293,0.77802,0.4666,0.83863,0.94247,0.94444,0.95892,0.73506,0.71196,0.44009,0.88953,0.0006932,0.0006932,0.0006932
68,296.665,0.75616,0.42854,0.84256,0.94227,0.94444,0.96343,0.74237,0.71124,0.4006,0.89051,0.0006734,0.0006734,0.0006734
69,300.794,0.75611,0.45252,0.83806,0.96587,0.94444,0.96505,0.72953,0.76552,0.44117,0.89402,0.0006536,0.0006536,0.0006536
70,305.005,0.71879,0.41354,0.8402,0.96877,0.94444,0.96022,0.73382,0.70996,0.44595,0.89603,0.0006338,0.0006338,0.0006338
71,309.233,0.72725,0.41277,0.8595,0.97129,0.93993,0.96243,0.7249,0.68403,0.42758,0.89045,0.000614,0.000614,0.000614
72,313.447,0.72779,0.43635,0.83174,0.94441,0.94376,0.96126,0.72404,0.72466,0.45255,0.89235,0.0005942,0.0005942,0.0005942
73,317.74,0.7313,0.43785,0.84797,0.94431,0.94206,0.95999,0.73595,0.65702,0.42162,0.88507,0.0005744,0.0005744,0.0005744
74,322.22,0.71189,0.43236,0.83314,0.96843,0.91667,0.9546,0.7385,0.66539,0.43899,0.88858,0.0005546,0.0005546,0.0005546
75,326.416,0.70787,0.42488,0.83594,0.97136,0.94202,0.95391,0.7457,0.70854,0.42314,0.89283,0.0005348,0.0005348,0.0005348
76,330.694,0.71491,0.41015,0.82131,0.97018,0.94444,0.95291,0.75114,0.70623,0.42384,0.88745,0.000515,0.000515,0.000515
77,335.068,0.71536,0.42225,0.82182,0.96908,0.94444,0.95256,0.74136,0.70014,0.43293,0.88869,0.0004952,0.0004952,0.0004952
78,339.337,0.71436,0.45672,0.84175,0.96889,0.94444,0.95129,0.74683,0.73031,0.43094,0.89104,0.0004754,0.0004754,0.0004754
79,343.707,0.69833,0.42921,0.84358,0.96855,0.94444,0.95129,0.72172,0.73116,0.41554,0.88943,0.0004556,0.0004556,0.0004556
80,347.795,0.7079,0.43832,0.84153,0.9685,0.94444,0.95129,0.72624,0.69897,0.43132,0.88767,0.0004358,0.0004358,0.0004358
81,352.349,0.63218,0.40483,0.83018,0.96873,0.94444,0.95275,0.73203,0.69836,0.41502,0.89003,0.000416,0.000416,0.000416
82,356.555,0.70095,0.44029,0.88089,0.96849,0.94444,0.96049,0.73642,0.70597,0.43416,0.8912,0.0003962,0.0003962,0.0003962
83,360.868,0.67907,0.40909,0.85225,0.97141,0.94374,0.95305,0.73292,0.73474,0.45399,0.89571,0.0003764,0.0003764,0.0003764
84,365.117,0.71586,0.41593,0.83394,0.94276,0.94444,0.95868,0.7385,0.76295,0.43635,0.89832,0.0003566,0.0003566,0.0003566
85,369.519,0.69245,0.41554,0.84885,0.94353,0.94444,0.96572,0.74843,0.68624,0.41798,0.8896,0.0003368,0.0003368,0.0003368
86,373.744,0.6187,0.41343,0.84556,0.9413,0.94444,0.96896,0.75238,0.69419,0.40782,0.88994,0.000317,0.000317,0.000317
87,378.018,0.62675,0.40111,0.85769,0.97131,0.94069,0.97383,0.75164,0.69116,0.39811,0.89118,0.0002972,0.0002972,0.0002972
88,382.394,0.65205,0.38532,0.82442,0.97137,0.94258,0.97359,0.75967,0.69109,0.38302,0.89186,0.0002774,0.0002774,0.0002774
89,386.843,0.71332,0.41942,0.86059,0.96865,0.94444,0.97213,0.74981,0.73972,0.41431,0.89694,0.0002576,0.0002576,0.0002576
90,390.983,0.68969,0.41971,0.84441,0.94576,0.96871,0.97677,0.76376,0.7301,0.43012,0.89564,0.0002378,0.0002378,0.0002378
91,418.392,0.61475,0.38404,0.81382,0.96689,0.94444,0.97536,0.76074,0.66862,0.40951,0.88731,0.000218,0.000218,0.000218
92,422.565,0.61093,0.38556,0.84543,0.96738,0.94444,0.97334,0.74856,0.65581,0.40144,0.88755,0.0001982,0.0001982,0.0001982
93,426.941,0.61577,0.37292,0.82632,0.96819,0.94444,0.97307,0.74822,0.69565,0.38833,0.89309,0.0001784,0.0001784,0.0001784
94,431.348,0.61877,0.36444,0.8349,0.96827,0.94444,0.97288,0.73685,0.71699,0.40329,0.89664,0.0001586,0.0001586,0.0001586
95,435.617,0.56636,0.34912,0.7943,0.94244,0.94444,0.97071,0.74276,0.70265,0.42385,0.89621,0.0001388,0.0001388,0.0001388
96,439.689,0.58809,0.37032,0.77736,0.94243,0.94444,0.97268,0.74949,0.66137,0.41659,0.89234,0.000119,0.000119,0.000119
97,443.768,0.60964,0.37501,0.81374,0.94235,0.94444,0.97268,0.75751,0.67201,0.41557,0.89088,9.92e-05,9.92e-05,9.92e-05
98,447.845,0.57876,0.35967,0.819,0.94248,0.94444,0.97331,0.76471,0.67059,0.39925,0.891,7.94e-05,7.94e-05,7.94e-05
99,452.075,0.61388,0.36689,0.83107,0.94245,0.94444,0.97227,0.75405,0.67406,0.38998,0.89349,5.96e-05,5.96e-05,5.96e-05
100,456.188,0.57614,0.36295,0.819,0.94244,0.94444,0.97243,0.75571,0.67628,0.38387,0.89448,3.98e-05,3.98e-05,3.98e-05
